day,Day,Condition,Group,Cage
1,Day 1,Exploration,1,1
2,Day 1,FlowerTraining,1,1
3,Day 1,Alternation,1,1
4,Day 2,Alternation,1,1
5,Day 3,Alternation,1,1
6,Day 4,Alternation,1,1
7,Day 5,Alternation,1,1
8,Day 1,SerialReversal,1,1
9,Day 1,SerialReversalCounter,1,1
10,Day 2,SerialReversalCounter,1,1
11,Day 3,SerialReversalCounter,1,1
12,Day 1,Exploration,2,2
13,Day 2,Exploration,2,2
14,Day 3,Exploration,2,2
15,Day 1,FlowerTraining,2,2
16,Day 1,Alternation,2,2
17,Day 1,SerialReversalCounter,2,2
18,Day 2,SerialReversalCounter,2,2
19,Day 3,SerialReversalCounter,2,2
20,Day 1,Exploration,3,1
21,Day 1,FlowerTraining,3,1
22,Day 1,Alternation,3,1
23,Day 2,Alternation,3,1
24,Day 1,SerialReversalCounter,3,1
25,Day 2,SerialReversalCounter,3,1
26,Day 3,SerialReversalCounter,3,1
27,Day 1,Exploration,4,2
28,Day 2,Exploration,4,2
29,Day 1,FlowerTraining,4,2
30,Day 1,Alternation,4,2
31,Day 2,Alternation,4,2
32,Day 1,SerialReversalCounter,4,2
33,Day 2,SerialReversalCounter,4,2
34,Day 3,SerialReversalCounter,4,2
35,Day 4,SerialReversalCounter,4,2
36,Day 5,SerialReversalCounter,4,2
37,Day 6,SerialReversalCounter,4,2
38,Day 1,Exploration,5,1
39,Day 2,Exploration,5,1
40,Day 1,FlowerTraining,5,1
41,Day 1,Alternation,5,1
42,Day 1,SerialReversalCounterAlternation,5,1
43,Day 1,SerialReversalCounter,5,1
44,Day 2,SerialReversalCounter,5,1
45,Day 3,SerialReversalCounter,5,1
46,Day 4,SerialReversalCounter,5,1
