"IdRFID";"DateTime";"unitLabel";"eventDuration";"reinforce1value";"outFuncLabel";"outLabel";"SystemMsg";"MsgValue1";"Day";"day";"Condition";"Group";"Cage";"IdLabel"
"04176924DC";2017-07-06 17:22:41;"exp";0;NA;"";"";NA;"switch";1;"Day 1";"SerialReversalCounter";"Group 1";1;"Bat1"
"04176904DD";2017-07-06 17:22:41;"exp";0;NA;"";"";NA;"switch";1;"Day 1";"SerialReversalCounter";"Group 1";1;"Bat2"
"041769264F";2017-07-06 17:22:41;"exp";0;NA;"";"";NA;"switch";1;"Day 1";"SerialReversalCounter";"Group 1";1;"Bat3"
"0417691B6F";2017-07-06 17:22:41;"exp";0;NA;"";"";NA;"switch";1;"Day 1";"SerialReversalCounter";"Group 1";1;"Bat4"
"04176924DC";2017-07-06 17:58:56;"CondMod1";532;NA;"rew1";"positive";NA;"";1;"Day 1";"SerialReversalCounter";"Group 1";1;"Bat1"
"04176904DD";2017-07-06 18:00:26;"CondMod4";490;19;"rew4";"positive";NA;"";1;"Day 1";"SerialReversalCounter";"Group 1";1;"Bat2"
"04176924DC";2017-07-06 18:00:27;"CondMod1";82;NA;"rew1";"positive";NA;"";1;"Day 1";"SerialReversalCounter";"Group 1";1;"Bat1"
"04176924DC";2017-07-06 18:00:37;"CondMod2";418;19;"rew2";"positive";NA;"";1;"Day 1";"SerialReversalCounter";"Group 1";1;"Bat1"
"04176924DC";2017-07-06 18:01:12;"CondMod2";98;19;"rew2";"positive";NA;"";1;"Day 1";"SerialReversalCounter";"Group 1";1;"Bat1"
"041769264F";2017-07-06 18:05:21;"CondMod5";390;NA;"rew5";"positive";NA;"";1;"Day 1";"SerialReversalCounter";"Group 1";1;"Bat3"
"041769264F";2017-07-06 18:07:34;"CondMod5";130;NA;"rew5";"positive";NA;"";1;"Day 1";"SerialReversalCounter";"Group 1";1;"Bat3"
"04176924DC";2017-07-06 18:07:34;"CondMod2";672;19;"rew2";"positive";NA;"";1;"Day 1";"SerialReversalCounter";"Group 1";1;"Bat1"
"041769264F";2017-07-06 18:08:26;"CondMod5";670;NA;"rew5";"positive";NA;"";1;"Day 1";"SerialReversalCounter";"Group 1";1;"Bat3"
"04176924DC";2017-07-06 18:09:01;"CondMod2";940;19;"rew2";"positive";NA;"";1;"Day 1";"SerialReversalCounter";"Group 1";1;"Bat1"
"041769264F";2017-07-06 18:09:41;"CondMod6";988;19;"rew6";"positive";NA;"";1;"Day 1";"SerialReversalCounter";"Group 1";1;"Bat3"
"041769264F";2017-07-06 18:10:49;"CondMod6";736;19;"rew6";"positive";NA;"";1;"Day 1";"SerialReversalCounter";"Group 1";1;"Bat3"
"04176924DC";2017-07-06 18:10:52;"CondMod2";800;19;"rew2";"positive";NA;"";1;"Day 1";"SerialReversalCounter";"Group 1";1;"Bat1"
"041769264F";2017-07-06 18:10:54;"CondMod6";872;19;"rew6";"positive";NA;"";1;"Day 1";"SerialReversalCounter";"Group 1";1;"Bat3"
"041769264F";2017-07-06 18:11:02;"CondMod6";732;19;"rew6";"positive";NA;"";1;"Day 1";"SerialReversalCounter";"Group 1";1;"Bat3"
"041769264F";2017-07-06 18:11:07;"CondMod6";882;19;"rew6";"positive";NA;"";1;"Day 1";"SerialReversalCounter";"Group 1";1;"Bat3"
"041769264F";2017-07-06 18:11:16;"CondMod6";929;19;"rew6";"positive";NA;"";1;"Day 1";"SerialReversalCounter";"Group 1";1;"Bat3"
"04176924DC";2017-07-06 18:16:20;"CondMod2";1059;19;"rew2";"positive";NA;"";1;"Day 1";"SerialReversalCounter";"Group 1";1;"Bat1"
"04176924DC";2017-07-06 18:16:37;"CondMod2";79;19;"rew2";"positive";NA;"";1;"Day 1";"SerialReversalCounter";"Group 1";1;"Bat1"
